Locality_clean,Latitude,Longitude,Year,Month,Day,Larvae,Pupae,Adults,MOTH_family,MOTH_sp,MOTH_id,feed,PARA_n1,PARA_sp1,PARA_n2,PARA_sp2,PARA_n3,PARA_sp3,PARA_n4,PARA_sp4,PARA_n5,PARA_sp5
Tp D 66,NA,NA,1946,7,28,3,NA,1,Tortricidae,Acleris variana,ACVA,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
?,NA,NA,1937,7,22,NA,1,1,Tortricidae,Acleris variana,ACVA,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
?,NA,NA,1947,6,17,51,NA,NA,Geometridae,Alsophila pometaria,ALPO,solitary defoliators,3,Unk. Parasitoids,NA,NA,NA,NA,NA,NA,NA,NA
1/2 m w of Mc Kinzie D 24,NA,NA,1946,6,24,1,NA,1,Pyralidae,Dioryctria abietivorella,DIAB,cone feeders,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A-Northbay # 71,NA,NA,1949,6,13,5,NA,2,Tortricidae,Choristoneura rosaceana,CHRO,leaf rollers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A. Dymont 18,NA,NA,1949,6,3,1,NA,1,Tortricidae,Choristoneura rosaceana,CHRO,leaf rollers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aberdeen Add'l.,NA,NA,1946,8,17,2,NA,1,Erebidae,Orgyia leucostigma,ORLE,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aberdeen Add. D 36,NA,NA,1946,6,14,6,3,4,Tortricidae,Pseudosciaphila duplex,PSDU,leaf rollers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aberdeen Add'l.,NA,NA,1946,6,14,6,NA,2,Gelechiidae,Anacampsis innocuella,ANIN,leaf rollers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aberdeen Tp D 36,NA,NA,1947,7,18,NA,1,1,Pyralidae,Dioryctria abietivorella,DIAB,cone feeders,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aberdeen Tp D 36,NA,NA,1947,7,10,1,NA,1,Tortricidae,Acleris variana,ACVA,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aberdeen Tp D 36,NA,NA,1946,8,17,9,2,3,Erebidae,Orgyia leucostigma,ORLE,solitary defoliators,5,Diptera,1,Hymenoptera,NA,NA,NA,NA,NA,NA
Abitibi Lake D 45,NA,NA,1948,6,14,1,NA,1,Tortricidae,Acleris variana,ACVA,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abitibi, Que.",4834,7800,1938,6,29,100,NA,772,Tortricidae,Archips cerasivorana,ARCE, colonial shelter-builders,3,Labrorychus sp.,NA,NA,NA,NA,NA,NA,NA,NA
"Achray, Ont.",NA,NA,1943,9,9,7,NA,3,Geometridae,Macaria granitata,MAGR,solitary defoliators,2,Hymenoptera,NA,NA,NA,NA,NA,NA,NA,NA
"Achray, Ont.",NA,NA,1943,9,17,1,NA,1,Geometridae,Macaria granitata,MAGR,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Actinolite, Ont",NA,NA,1949,6,16,1,NA,1,Tortricidae,Choristoneura rosaceana,CHRO,leaf rollers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Actinolite, Ont",NA,NA,1949,6,16,1,NA,1,Geometridae,Erannis tiliaria,ERTI,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Afton Tp. D71,NA,NA,1946,8,2,100,NA,9,Erebidae,Hyphantria cunea,HYCU, colonial shelter-builders,1,Hyposoter pilosulus,2,Therion sassacus,5,Hymenoptera,NA,NA,NA,NA
Afton Twp.,NA,NA,1946,6,24,1,NA,1,Geometridae,Nepytia canosaria,NECA,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agimac Lake, Ont.",NA,NA,1944,7,26,1,NA,1,Geometridae,Nepytia canosaria,NECA,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Agimac Lake, Ont.",NA,NA,1944,7,26,2,NA,2,Geometridae,Nepytia canosaria,NECA,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Agiman Lake Ignace,NA,NA,1946,6,14,1,NA,1,Pyralidae,Dioryctria abietivorella,DIAB,cone feeders,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Airy Twp. D82,NA,NA,1947,8,9,21,NA,8,Erebidae,Hyphantria cunea,HYCU, colonial shelter-builders,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aberdeen Tp D 36,NA,NA,1947,7,10,NA,2,2,Tortricidae,Choristoneura rosaceana,CHRO,leaf rollers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alberton, P.E.I.",4649,6404,1941,8,31,6,NA,NA,Geometridae,Nepytia canosaria,NECA,solitary defoliators,1,Madremyia saundersii,NA,NA,NA,NA,NA,NA,NA,NA
Alcona Tp D 29,NA,NA,1947,7,16,2,NA,1,Tortricidae,Acleris variana,ACVA,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alcona Tp D 29,NA,NA,1947,7,16,1,1,2,Pyralidae,Dioryctria abietivorella,DIAB,cone feeders,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aldfield, Que.",NA,NA,1938,8,9,1,NA,1,Geometridae,Lambdina fiscellaria,LAFI,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alexandra, Ont.",NA,NA,1941,9,25,1,NA,1,Pyralidae,Dioryctria abietivorella,DIAB,cone feeders,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alexandra, Ont.",NA,NA,1939,8,25,1,NA,1,Geometridae,Macaria granitata,MAGR,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alfred, Ont.",NA,NA,1939,7,15,1,NA,1,Tortricidae,Acleris variana,ACVA,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alfred, Ont.",NA,NA,1939,9,20,1,NA,1,Geometridae,Caripeta divisata,CADI,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alfred, Ont.",NA,NA,1949,6,29,2,NA,2,Geometridae,Lambdina fiscellaria,LAFI,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alfred, Ont.",NA,NA,1941,7,17,2,NA,2,Geometridae,Lambdina fiscellaria,LAFI,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alfred, Ont.",4533,7453,1939,9,20,1,NA,NA,Geometridae,Macaria granitata,MAGR,solitary defoliators,1,Casinaria semiothisae,NA,NA,NA,NA,NA,NA,NA,NA
"Algoma, Ont.",NA,NA,1939,8,1,1,2,3,Geometridae,Lambdina fiscellaria,LAFI,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Algoma, Ont.",4800,8400,1939,8,1,NA,2,1,Geometridae,Nepytia canosaria,NECA,solitary defoliators,1,Itoplectis conquisitor,NA,NA,NA,NA,NA,NA,NA,NA
Algona N.,NA,NA,1948,9,23,1,NA,1,Geometridae,Macaria granitata,MAGR,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Algonquin,4545,7830,1948,7,9,4,NA,2,Geometridae,Lambdina fiscellaria,LAFI,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Algonquin,4545,7830,1948,7,26,5,NA,3,Geometridae,Lambdina fiscellaria,LAFI,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Algonquin,NA,NA,1948,8,14,5,NA,3,Geometridae,Nepytia canosaria,NECA,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Algonquin,4545,7830,1948,7,6,6,NA,2,Geometridae,Lambdina fiscellaria,LAFI,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Algonquin D85,NA,NA,1949,6,22,1,NA,1,Geometridae,Nepytia canosaria,NECA,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Algonquin Dist,NA,NA,1948,7,6,20,NA,9,Geometridae,Nepytia canosaria,NECA,solitary defoliators,1,Hymenoptera,NA,NA,NA,NA,NA,NA,NA,NA
Algonquin DisT.,4533,7835,1948,7,24,3,NA,1,Pyralidae,Dioryctria abietivorella,DIAB,cone feeders,2,Hymenoptera,NA,NA,NA,NA,NA,NA,NA,NA
Algonquin Hq. D 82,NA,NA,1948,7,8,1,NA,1,Tortricidae,Acleris variana,ACVA,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Algonquin Park, Ont.",4533,7835,1945,6,30,1,NA,1,Pyralidae,Dioryctria abietivorella,DIAB,cone feeders,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Algonquin Park, Ont.",NA,NA,1944,8,28,1,NA,1,Geometridae,Macaria granitata,MAGR,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Algonquin Park, Ont.",NA,NA,1944,8,5,1,NA,1,Geometridae,Macaria granitata,MAGR,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Algonquin Park, Ont.",NA,NA,1944,8,5,3,NA,2,Geometridae,Macaria granitata,MAGR,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Algonquin Park, Ont.",4533,7835,1945,6,23,3,NA,1,Tortricidae,Choristoneura rosaceana,CHRO,leaf rollers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Algonquin Park, Ont.",4533,7835,1945,6,23,7,NA,2,Tortricidae,Choristoneura rosaceana,CHRO,leaf rollers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Algonquin Park, Ont.",NA,NA,1944,8,5,4,NA,1,Geometridae,Macaria granitata,MAGR,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Algonquin Park D82,NA,NA,1949,7,11,1,NA,1,Geometridae,Nepytia canosaria,NECA,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Algonquin Park Headquarters,NA,NA,1948,8,25,3,NA,2,Geometridae,Macaria granitata,MAGR,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Algonquin Park Headquarters D82,4545,7830,1948,8,25,1,NA,1,Geometridae,Lambdina fiscellaria,LAFI,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Algonquin Park Hq. D82,4533,7835,1948,6,10,2,NA,1,Pyralidae,Dioryctria abietivorella,DIAB,cone feeders,1,Apanteles sp.,NA,NA,NA,NA,NA,NA,NA,NA
"Algonquin Park, Ont.",NA,NA,1944,7,17,2,NA,1,Geometridae,Macaria granitata,MAGR,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Algonquin Park, Ont.",NA,NA,1944,8,2,1,NA,1,Geometridae,Macaria granitata,MAGR,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Algonquin Park, Ont.",NA,NA,1939,8,26,NA,1,1,Geometridae,Nepytia canosaria,NECA,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Algonquin Park, Ont.",4533,7835,1948,7,8,NA,1,1,Pyralidae,Dioryctria abietivorella,DIAB,cone feeders,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Algonquin Pk. #82,4545,7830,1949,7,6,2,NA,2,Geometridae,Lambdina fiscellaria,LAFI,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Algonquin Pk. #82,4545,7830,1949,7,11,2,NA,1,Geometridae,Lambdina fiscellaria,LAFI,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Algonquin Pk. #82,4545,7830,1949,7,12,1,NA,1,Geometridae,Lambdina fiscellaria,LAFI,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Algonquin Pk. #82,4545,7830,1949,7,13,1,NA,NA,Geometridae,Lambdina fiscellaria,LAFI,solitary defoliators,1,Compsilura concinnata,NA,NA,NA,NA,NA,NA,NA,NA
Algonquin Pk. #82,4545,7830,1949,7,14,4,NA,2,Geometridae,Lambdina fiscellaria,LAFI,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Algonquin Pk. #82,4545,7830,1949,7,19,3,1,2,Geometridae,Lambdina fiscellaria,LAFI,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Algonquin Pk. #82,4545,7830,1949,7,20,1,NA,1,Geometridae,Lambdina fiscellaria,LAFI,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Algonquin Pk. #82,4545,7830,1949,7,20,3,NA,1,Geometridae,Lambdina fiscellaria,LAFI,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Algonquin Park, Ont.",NA,NA,1944,6,31,2,NA,1,Tortricidae,Choristoneura rosaceana,CHRO,leaf rollers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Algonquin Park, Ont.",NA,NA,1944,6,31,10,NA,1,Tortricidae,Choristoneura rosaceana,CHRO,leaf rollers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Algonquin Park, Ont.",NA,NA,1945,6,14,5,NA,1,Tortricidae,Choristoneura rosaceana,CHRO,leaf rollers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Algonquin Park, Ont.",NA,NA,1945,6,14,5,NA,1,Tortricidae,Choristoneura rosaceana,CHRO,leaf rollers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Algonquin Park, Ont.",NA,NA,1945,6,21,4,NA,2,Tortricidae,Choristoneura rosaceana,CHRO,leaf rollers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Algonquin Park, Ont.",NA,NA,1944,6,10,2,NA,1,Tortricidae,Choristoneura rosaceana,CHRO,leaf rollers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Algonquin Park, Ont.",NA,NA,1943,6,18,1,NA,1,Geometridae,Erannis tiliaria,ERTI,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Algonquin Park, Ont.",NA,NA,1945,6,23,4,NA,2,Tortricidae,Choristoneura rosaceana,CHRO,leaf rollers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Algonquin Park, Ont.",NA,NA,1945,6,23,4,NA,1,Tortricidae,Choristoneura rosaceana,CHRO,leaf rollers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Algonquin Park, Ont.",NA,NA,1945,6,23,4,NA,2,Tortricidae,Choristoneura rosaceana,CHRO,leaf rollers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Algonquin Park, Ont.",NA,NA,1945,6,23,4,NA,2,Tortricidae,Choristoneura rosaceana,CHRO,leaf rollers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Algonquin Park, Ont.",NA,NA,1944,6,16,1,NA,1,Tortricidae,Choristoneura rosaceana,CHRO,leaf rollers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Algonquin Park, Ont.",NA,NA,1944,6,16,1,NA,1,Geometridae,Erannis tiliaria,ERTI,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Algonquin Park, Ont.",NA,NA,1944,6,16,2,NA,2,Tortricidae,Choristoneura rosaceana,CHRO,leaf rollers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Algonquin Park, Ont.",NA,NA,1945,6,29,2,2,4,Tortricidae,Choristoneura rosaceana,CHRO,leaf rollers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Algonquin Park, Ont.",NA,NA,1944,6,26,1,1,1,Tortricidae,Acleris variana,ACVA,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Algonquin Park, Ont.",NA,NA,1944,7,15,2,NA,2,Tortricidae,Acleris variana,ACVA,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Algonquin Park, Ont.",NA,NA,1944,7,15,1,NA,1,Tortricidae,Acleris variana,ACVA,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Algonquin Park, Ont.",NA,NA,1944,6,15,4,NA,3,Tortricidae,Choristoneura rosaceana,CHRO,leaf rollers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Algonquin Park, Ont.",NA,NA,1944,6,15,NA,1,1,Tortricidae,Choristoneura rosaceana,CHRO,leaf rollers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Algonquin Park, Ont.",NA,NA,1944,6,15,1,NA,1,Tortricidae,Choristoneura rosaceana,CHRO,leaf rollers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Algonquin Park, Ont.",NA,NA,1944,6,15,NA,1,1,Tortricidae,Choristoneura rosaceana,CHRO,leaf rollers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Algonquin Park, Ont.",NA,NA,1944,6,16,NA,1,1,Tortricidae,Choristoneura rosaceana,CHRO,leaf rollers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Algonquin Park, Ont.",NA,NA,1945,6,28,1,NA,1,Tortricidae,Choristoneura rosaceana,CHRO,leaf rollers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Algonquin Park, Ont.",NA,NA,1945,6,28,4,NA,3,Tortricidae,Choristoneura rosaceana,CHRO,leaf rollers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Algonquin Park, Ont.",4533,7835,1944,6,10,4,NA,3,Pyralidae,Dioryctria abietivorella,DIAB,cone feeders,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Algonquin Park, Ont.",4533,7835,1944,6,12,NA,1,1,Pyralidae,Dioryctria abietivorella,DIAB,cone feeders,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Algonquin Park, Ont.",4533,7835,1944,6,26,NA,2,2,Pyralidae,Dioryctria abietivorella,DIAB,cone feeders,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Algonquin Park, Ont.",4533,7835,1940,7,4,70,NA,24,Tortricidae,Archips cerasivorana,ARCE, colonial shelter-builders,3,Laborychus prismaticus Nort.,NA,NA,NA,NA,NA,NA,NA,NA
"Algonquin Park, Ont.",4545,7830,1944,7,10,1,NA,1,Geometridae,Lambdina fiscellaria,LAFI,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Algonquin Park, Ont.",4545,7830,1944,7,12,1,NA,1,Geometridae,Lambdina fiscellaria,LAFI,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Algonquin Park, Ont.",4545,7830,1944,7,12,1,NA,1,Geometridae,Lambdina fiscellaria,LAFI,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Algonquin Park, Ont.",4545,7830,1944,7,17,1,NA,1,Geometridae,Lambdina fiscellaria,LAFI,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Algonquin Park, Ont.",4545,7830,1944,7,17,1,NA,1,Geometridae,Lambdina fiscellaria,LAFI,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Algonquin Park, Ont.",4545,7830,1944,7,17,1,NA,1,Geometridae,Lambdina fiscellaria,LAFI,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Algonquin Park, Ont.",4545,7830,1944,7,17,1,NA,1,Geometridae,Lambdina fiscellaria,LAFI,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Algonquin Park, Ont.",4545,7830,1944,7,17,3,NA,2,Geometridae,Lambdina fiscellaria,LAFI,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Algonquin Park, Ont.",4545,7830,1944,7,17,2,NA,1,Geometridae,Lambdina fiscellaria,LAFI,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Algonquin Park, Ont.",4533,7835,1944,7,19,?,NA,23,Erebidae,Hyphantria cunea,HYCU, colonial shelter-builders,1,Meteorus hyphantriae,1,Meteorus sp.,NA,NA,NA,NA,NA,NA
"Algonquin Park, Ont.",4533,7835,1944,7,26,51,NA,7,Erebidae,Hyphantria cunea,HYCU, colonial shelter-builders,2,Apanteles hyphantriae,NA,NA,NA,NA,NA,NA,NA,NA
"Algonquin Park, Ont.",4533,7835,1942,7,9,40,NA,11,Tortricidae,Archips cerasivorana,ARCE, colonial shelter-builders,1,Phytomyptera leucoptera,1,Zenillia blanda,NA,NA,NA,NA,NA,NA
"Algonquin Park, Ont.",4533,7835,1939,8,22,4,NA,1,Erebidae,Hyphantria cunea,HYCU, colonial shelter-builders,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alice,NA,NA,1948,6,18,4,NA,2,Gelechiidae,Anacampsis innocuella,ANIN,leaf rollers,1,Hymenoptera,NA,NA,NA,NA,NA,NA,NA,NA
Alice #85,4545,7717,1948,6,18,15,NA,12,Gelechiidae,Anacampsis innocuella,ANIN,leaf rollers,2,Schizotachina longicornis,NA,NA,NA,NA,NA,NA,NA,NA
Alice Tp.,4545,7717,1946,8,7,?,NA,NA,Erebidae,Hyphantria cunea,HYCU, colonial shelter-builders,4,Apanteles hyphantriae,2,Hymenoptera,NA,NA,NA,NA,NA,NA
Allanevater D 27,NA,NA,1948,6,15,1,NA,0,Tortricidae,Pseudosciaphila duplex,PSDU,leaf rollers,1,Diptera,NA,NA,NA,NA,NA,NA,NA,NA
AllenbyTwp. D 75,NA,NA,1946,8,9,1,NA,1,Geometridae,Macaria granitata,MAGR,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Allendale, Ont.",NA,NA,1946,8,17,1,NA,NA,Erebidae,Orgyia leucostigma,ORLE,solitary defoliators,1,Meteorus hyphantriae,NA,NA,NA,NA,NA,NA,NA,NA
"Allenford, Ont.",NA,NA,1949,6,17,1,5,2,Tortricidae,Rhyacionia buoliana,RHBU,internal feeders - woody,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Allenville D82,NA,NA,1949,7,20,3,NA,2,Geometridae,Nepytia canosaria,NECA,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alleuna, Ont.",NA,NA,1947,6,5,3,NA,2,Tortricidae,Rhyacionia buoliana,RHBU,internal feeders - woody,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alpha Tp D 80,NA,NA,1946,9,2,4,NA,1,Geometridae,Macaria granitata,MAGR,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alton Tp D 29,NA,NA,1947,8,4,3,NA,2,Tortricidae,Acleris variana,ACVA,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alton Twp. D29,NA,NA,1947,8,4,1,NA,1,Geometridae,Nepytia canosaria,NECA,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amesdale D 25,NA,NA,1947,8,29,1,NA,1,Geometridae,Caripeta divisata,CADI,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amherstburg, Ont.",NA,NA,1939,6,5,1,10,4,Tortricidae,Rhyacionia buoliana,RHBU,internal feeders - woody,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amos, P.Q.",NA,NA,1937,8,20,1,NA,1,Geometridae,Macaria granitata,MAGR,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amos, Que.",NA,NA,1938,7,13,2,NA,2,Geometridae,Nepytia canosaria,NECA,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Amyot D 73,NA,NA,1948,7,13,2,NA,1,Tortricidae,Acleris variana,ACVA,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amyot, Ont",4829,8457,1945,7,23,NA,3,NA,Pyralidae,Dioryctria abietivorella,DIAB,cone feeders,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amyot, Ont.",4829,8457,1945,7,23,NA,1,NA,Pyralidae,Dioryctria abietivorella,DIAB,cone feeders,1,Itoplectis conquisitor,NA,NA,NA,NA,NA,NA,NA,NA
Amyoti D 73,NA,NA,1949,6,24,1,NA,1,Tortricidae,Acleris variana,ACVA,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Angus, Ont.",NA,NA,1944,6,9,1,NA,1,Tortricidae,Choristoneura rosaceana,CHRO,leaf rollers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Angus, Ont.",4419,7953,1945,7,9,?,NA,1,Pyralidae,Dioryctria abietivorella,DIAB,cone feeders,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Angus, Ont.",4419,7953,1946,6,21,2,NA,2,Geometridae,Erannis tiliaria,ERTI,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Angus, Ont.",NA,NA,1947,6,17,2,NA,1,Geometridae,Alsophila pometaria,ALPO,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Angus, Ont.",4419,7953,1947,6,17,2,NA,`,Tortricidae,Choristoneura rosaceana,CHRO,leaf rollers,1,Macrocentrus amicroploides,NA,NA,NA,NA,NA,NA,NA,NA
"Angus, Ont.",4419,7953,1947,6,17,2,NA,1,Geometridae,Erannis tiliaria,ERTI,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Angus, Ont.",4419,7953,1945,7,23,?,NA,1,Pyralidae,Dioryctria abietivorella,DIAB,cone feeders,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Angus, Ont.",4419,7953,1946,7,8,2,NA,1,Pyralidae,Dioryctria abietivorella,DIAB,cone feeders,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Angus, Ont.",NA,NA,1940,6,26,NA,2,1,Tortricidae,Choristoneura rosaceana,CHRO,leaf rollers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Angus, Ont.",4419,7953,1948,6,28,?,NA,1,Pyralidae,Dioryctria abietivorella,DIAB,cone feeders,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Angus, Ont.",NA,NA,1944,8,28,1,NA,1,Geometridae,Caripeta divisata,CADI,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Angus, Ont.",NA,NA,1938,7,20,10,NA,2,Tortricidae,Acleris variana,ACVA,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Angus, Ont.",NA,NA,1938,6,20,3,NA,1,Tortricidae,Acleris variana,ACVA,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Angus, Ont.",NA,NA,1938,6,22,5,NA,2,Tortricidae,Acleris variana,ACVA,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Angus, Ont.",NA,NA,1938,7,4,1,NA,1,Tortricidae,Acleris variana,ACVA,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Angus, Ont.",NA,NA,1938,7,4,1,NA,1,Tortricidae,Acleris variana,ACVA,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Angus, Ont.",NA,NA,1942,5,20,2,NA,1,Tortricidae,Choristoneura rosaceana,CHRO,leaf rollers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
