Locality_clean,Latitude,Longitude,Year,Month,Day,Larvae,Pupae,Adults,MOTH_family,MOTH_sp,MOTH_id,feed,PARA_n1,PARA_sp1,PARA_n2,PARA_sp2,PARA_n3,PARA_sp3,PARA_n4,PARA_sp4,PARA_n5,PARA_sp5
Twp 40 Div 69,NA,NA,1946,7,18,1,NA,1,Geometridae,Lambdina fiscellaria,LAFI,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Twp. (3175),NA,NA,1946,8,5,1,NA,1,Geometridae,Macaria granitata,MAGR,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Twp. 10, Ont",NA,NA,1942,6,23,NA,1,1,Pyralidae,Dioryctria abietivorella,DIAB,cone feeders,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Twp. 1A,NA,NA,1945,8,27,80,NA,1,Erebidae,Hyphantria cunea,HYCU, colonial shelter-builders,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Twp. 3 E., Ont",NA,NA,1942,6,18,2,NA,2,Pyralidae,Dioryctria abietivorella,DIAB,cone feeders,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Twp. 4E, Ont.",NA,NA,1941,7,28,1,1,NA,Geometridae,Lambdina fiscellaria,LAFI,solitary defoliators,1,Gelis sp.,NA,NA,NA,NA,NA,NA,NA,NA
"Twp. 4E, Ont.",NA,NA,1941,7,28,1,1,NA,Geometridae,Lambdina fiscellaria,LAFI,solitary defoliators,1,Itoplectis conquisitor,NA,NA,NA,NA,NA,NA,NA,NA
Uchi Lake,NA,NA,1946,8,15,3,NA,1,Geometridae,Macaria granitata,MAGR,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Uchi Lake D 26,NA,NA,1946,8,15,2,NA,1,Geometridae,Macaria granitata,MAGR,solitary defoliators,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ulster Twp. D70,NA,NA,1946,8,22,15,NA,7,Erebidae,Hyphantria cunea,HYCU, colonial shelter-builders,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Underwood, Ont.",NA,NA,1947,6,13,3,NA,2,Tortricidae,Rhyacionia buoliana,RHBU,internal feeders - woody,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Union, Ont",NA,NA,1948,6,14,2,NA,0,Tortricidae,Rhyacionia buoliana,RHBU,internal feeders - woody,1,Calliephialtes comstockii,NA,NA,NA,NA,NA,NA,NA,NA
"Union, Ont.",NA,NA,1947,6,9,3,NA,3,Tortricidae,Rhyacionia buoliana,RHBU,internal feeders - woody,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Union, Ont.",NA,NA,1947,6,9,5,NA,4,Tortricidae,Rhyacionia buoliana,RHBU,internal feeders - woody,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Union, Ont.",NA,NA,1947,6,9,5,NA,4,Tortricidae,Rhyacionia buoliana,RHBU,internal feeders - woody,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Union, Ont.",NA,NA,1948,6,14,1,NA,1,Tortricidae,Rhyacionia buoliana,RHBU,internal feeders - woody,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Uniondale, Ont.",NA,NA,1948,6,15,6,NA,3,Tortricidae,Rhyacionia buoliana,RHBU,internal feeders - woody,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Uniondale, Oxford, Ont",NA,NA,1949,6,7,?,16,13,Tortricidae,Rhyacionia buoliana,RHBU,internal feeders - woody,3,Hymenoptera,NA,NA,NA,NA,NA,NA,NA,NA
Uno Park Ont D 64,NA,NA,1947,7,21,44,NA,6,Tortricidae,Archips cerasivorana,ARCE, colonial shelter-builders,5,Diptera,2,Hymenoptera,NA,NA,NA,NA,NA,NA
