"HERB_ID_SP","abun","rar.pd.obs","rar.pd.est","sr.obs","sr.est","shan.obs","shan.est","mpd.abun","mpd","mntd.abun","mntd","pd.abun","pd.ivs.abun","pd.ivs","species.specificity.index","effective.partners","proportional.generality","d","psv","psr","eed","hed","pae.even","haed.even","eaed.even","pse.even","HERB_family_2019","HERB_fam_top","HERB_sp","FEED_type","FEED_site","feeding","SC","HERB_ID","start_pheno","start_peak","end_pheno","end_peak","dias_peak","dias_pheno","group"
"ORLE",957,1923.77,1923.77,20,20,12.208,12.33,379.418038635255,380.792289957895,112.487011811912,110.6013915,1923.770001,1358.16830250051,-68.7368234078205,0.288856617200786,12.207514463222,1.06980201212781,0.146400039815672,0.585744129099695,11.7148825819939,1.4826142260194,4.44151528611659,1.04533160162709,6.55797604533177,0.955443457704222,0.614347601776607,"Erebidae","Erebidae","Orgyia leucostigma","free","LEAF","solitary def.","S","ORLE",110,211,303,232,21,193,"late"
"ORLE",957,1923.77,1923.77,20,20,12.208,12.33,379.418038635255,380.792289957895,112.487011811912,110.6013915,1923.770001,1358.16830250051,-68.7368234078205,0.288856617200786,12.207514463222,1.06980201212781,0.146400039815672,0.585744129099695,11.7148825819939,1.4826142260194,4.44151528611659,1.04533160162709,6.55797604533177,0.955443457704222,0.614347601776607,"Erebidae","Erebidae","Orgyia leucostigma","free","LEAF","solitary def.","S","ORLEP",110,211,303,232,21,193,"late"
"ORPS",366,421.072,421.072,4,4,1.255,1.261,5.5264131692496,72.736761,32.5346663005464,55.7749735,421.071578,-124.931901250815,-162.160409605173,0.955187606306765,1.25537943922068,0.110014815391642,0.36842000918108,0.111885486783854,0.447541947135417,7.39826022348942,10.256166429921,0.273824502335519,5.6191961928472,0.95198123878875,0.0113344874331188,"Erebidae","Erebidae","Orgyia pseudotsugata","free","LEAF","solitary def.","S","ORPS",140,161,222,211,50,82,NA
"PAAN",668,1233.703,1233.703,12,12,4.35,4.387,163.420727660323,398.226019878788,68.8612213802395,86.3683088333333,1233.702976,677.684839874227,-54.1664300064969,0.550304750436571,4.35048459924379,0.381253464169452,0.0646428760127851,0.612561124135498,7.35073348962598,2.38407054035501,5.92419273929182,0.63655680699223,5.62847651908268,0.865348577571133,0.274230337854464,"Erebidae","Erebidae","Palthis angulalis","free","LEAF","solitary def.","S","PAAN",150,NA,191,NA,NA,41,NA
"SCLI",116,363.089,363.089,2,2,1.194,1.2,6.2757006108799,76.077322,76.077322,76.077322,363.088688,-174.624512380816,-43.9839450048422,0.95647682423998,1.19444860133411,0.104675158971978,0.417280155680794,0.117024020428708,0.234048040857415,15.5219685364244,10.7590087277627,0.699633447155348,4.68197042719106,0.984933542641244,0.0193068761408836,"Erebidae","Erebidae","Scoliopteryx libratix","free","LEAF","solitary def.","S","SCLI",150,211,263,211,0,113,"late"
"SPVI",51,721.187,721.187,5,5,4.558,4.745,154.57386501807,224.0565084,142.538993960784,173.67029,721.187091,185.629363125383,49.8754260946616,0.462815312161463,4.5578392330868,0.399424927752607,0.23786959754368,0.34464926901852,1.7232463450926,5.01016894543663,8.0635558484857,1.04886548378987,3.83633000947443,0.97571214184701,0.297211683161293,"Erebidae","Erebidae","Spilosoma virginica","free",NA,"defoliator","S",NA,NA,NA,NA,NA,NA,NA,NA
"ZAMI",88,366.746,366.746,2,2,1.9,1.91,37.4743305681818,83.391154,83.391154,83.391154,366.745604,-170.039085147377,-40.3270290048422,0.732204684734108,1.8995872618336,0.16646978228405,0.119382676880864,0.128274337906762,0.256548675813523,15.4768489008694,10.7277341795899,0.485415996234857,4.47447066417656,0.999359853765663,0.115287886341821,"Erebidae","Erebidae","Zanclognatha minoralis","free",NA,"defoliator","S",NA,NA,NA,NA,NA,NA,NA,NA
"ZAPR",42,401.762,401.762,3,3,2.73,2.797,49.4200968979592,78.9383833333333,75.7578328571428,74.4856126666666,401.762025,-133.497252835297,-93.3902853050077,0.606634376393869,2.7298385631036,0.239228615816159,0.0784668361043756,0.121424975813544,0.364274927440631,9.48841924918487,10.4240939871895,0.0946735401811414,3.72857650743815,0.997567171052055,0.114028825087498,"Erebidae","Erebidae","Zanclognatha protumnusalis","free",NA,"defoliator","S",NA,NA,NA,NA,NA,NA,NA,NA
"ZAUN",42,403.013,403.013,2,2,1.89,1.913,69.3006097777778,155.926372,155.926372,155.926372,403.013213,-132.246064835297,-4.05942000484199,0.735675633681605,1.88988157484231,0.165619227201469,0.800162465174568,0.239849806257669,0.479699612515338,15.0230611685986,10.4131924923937,2.31196987742736,3.72857540912026,0.997566877201072,0.213199827784594,"Erebidae","Erebidae","Zale undularis","free",NA,"defoliator","S",NA,NA,NA,NA,NA,NA,NA,NA
"AEIN",90,393.325,393.325,2,2,1.996,2.007,67.9720015644445,136.550896,136.550896,136.550896,393.325475,-143.525536378337,-13.7471580048421,0.697255243473989,1.99555719944697,0.174880080111005,0.380650671594752,0.210045969323977,0.420091938647954,15.1448344535992,10.4975993015594,1.45622579005611,4.49954088997598,0.999940268506009,0.209112431682537,"Geometridae","Geometridae","Aethalura intertexta","free",NA,"defoliator","S","AEIN",171,191,232,211,20,61,NA
"ALPO",2056,1312.105,1312.105,13,13,5.284,5.3,161.74027117064,218.979325923077,190.163657985409,126.327373692308,1312.10511,710.059345587995,-63.8439733066619,0.527834614652898,5.28428261185283,0.463086583910556,0.515460457600082,0.336839421217887,4.37891247583253,2.22258551639522,5.70081929218123,1.70093260571429,7.14765688729095,0.936965376129046,0.269525630744719,"Geometridae","Geometridae","Alsophila pometaria","free","LEAF","solitary def.","S","ALPO",100,140,222,181,41,122,"early"
"ANPA",74,1214.8,1214.8,9,9,7.616,8.053,383.159973054054,447.846427722222,139.799704432432,136.362014666667,1214.79962,678.479186469344,191.169245894,0.349198690221936,7.6164400489044,0.667464528845476,0.202492168824451,0.688888464116667,6.19999617705,2.72208062607463,5.98102245310193,1.00041701832444,4.23402073753784,0.983725999921114,0.66305942759668,"Geometridae","Geometridae","Anavitrinella pampinaria","free","LEAF","defoliator","S","ANPA",150,211,263,232,21,113,"late"
"ARIN",189,478.874,478.874,3,3,1.837,1.847,72.6409698362308,179.739859333333,201.953260190476,127.908590666667,478.874252,-61.259709810856,-16.2780583050077,0.815485611949318,1.83703618409904,0.160988136612214,0.343434522766798,0.276480302112593,0.82944090633778,8.88883050786137,9.7653784278245,1.22627866333772,5.11620909990575,0.976050367407427,0.167607207665831,"Geometridae","Geometridae","Archiearis infans","free","LEAF","defoliator","S","ARIN",150,171,232,201,30,82,NA
"BEEN",56,541.508,541.508,3,3,2.564,2.611,132.955175739796,223.357845333333,217.936667928572,209.558484666667,541.508192,5.7846585479835,46.3558816949926,0.638361134044715,2.56357572779314,0.224658220155922,0.305110804967478,0.343574568189981,1.03072370456994,8.43542755581494,9.26726437298789,2.08042958584205,3.95928335772762,0.983586941444249,0.306772415080732,"Geometridae","Geometridae","Besma endropiaria","free",NA,"defoliator","S",NA,NA,NA,NA,NA,NA,NA,NA
"BEQU",87,559.414,559.414,3,3,1.588,1.607,53.357651602061,235.29518,231.827959172414,233.433154,559.414194,22.6626659681035,64.2618836949924,0.87426303370107,1.58793369613355,0.139158111863573,0.335692871609522,0.361936871951098,1.08581061585329,8.31266120367435,9.13239174989129,1.38761111039063,4.10500579418785,0.919187248174854,0.123114091301231,"Geometridae","Geometridae","Besma quercivoraria","free",NA,"defoliator","S","BEQU",191,222,273,242,20,82,"late"
"BIBE",769,1410.116,1410.116,10,10,6.806,6.846,253.909552729422,309.3266288,177.814784213264,209.9879418,1410.115783,850.748374210747,298.405731593834,0.383459205116617,6.80606976524893,0.596447962562875,0.277479489783949,0.475813879566298,4.75813879566298,2.36546504432106,5.44668454905218,1.0904883675424,6.18764864694877,0.931160863763027,0.433966623320591,"Geometridae","Geometridae","Biston betularia","free",NA,"solitary def.","S","BIBE",161,211,303,253,42,142,"late"
"CAAE",94,363.848,363.848,2,2,1.978,1.988,37.9369707922137,77.595156,77.595156,77.595156,363.847605,-173.136050840257,-43.2250280048422,0.70378955168207,1.97785874498513,0.17332908115443,0.241633826854873,0.119358790270151,0.238717580540302,15.5126215712476,10.7525299052037,0.292269938121472,4.54278047771036,0.99988679920976,0.116711175637631,"Geometridae","Geometridae","Caripeta aequaliaria","free","LEAF","defoliator","S","CAAE",181,222,263,242,20,82,"late"
